2S9 Sochor,O_MBT_02_arty_F,A-143 Buzzard (AA),I_Plane_Fighter_03_AA_F
Qilin (Armed) Arid,O_T_LSV_02_armed_arid_F,IFV-6c Panther	RCWS,B_T_APC_Tracked_01_rcws_F
Qilin (Armed) Arid,O_LSV_02_armed_arid_F,I_APC_Wheeled_03_cannon_F,I_APC_Wheeled_03_cannon_F
Qilin (Armed) Black,O_T_LSV_02_armed_black_F,I_MBT_03_cannon_F,I_MBT_03_cannon_F
Qilin (Armed) Black,O_LSV_02_armed_black_F,K40 Ababil-3,I_UAV_02_F
Qilin (Armed) GreenHex,O_T_LSV_02_armed_ghex_F,K40 Ababil-3 (CAS),I_UAV_02_CAS_F
Qilin (Armed) GreenHex,O_LSV_02_armed_ghex_F,M-900,I_C_Heli_Light_01_civil_F
Qilin (Armed) Viper,O_T_LSV_02_armed_viper_F,M2A1 Slammer,B_MBT_01_cannon_F
Qilin (Armed) Viper,O_LSV_02_armed_viper_F,M2A1 Slammer,B_T_MBT_01_cannon_F
Qilin (Unarmed),O_T_LSV_02_unarmed_F,M2A4 Slammer UP,B_MBT_01_TUSK_F
Qilin (Unarmed),O_LSV_02_unarmed_F,M2A4 Slammer UP,B_T_MBT_01_TUSK_F
Qilin (Unarmed) Arid,O_T_LSV_02_unarmed_arid_F,M4 Scorcher,B_MBT_01_arty_F
Qilin (Unarmed) Arid,O_LSV_02_unarmed_arid_F,M4 Scorcher,B_T_MBT_01_arty_F
Qilin (Unarmed) Black,O_T_LSV_02_unarmed_black_F,M5 Sandstorm MLRS,B_MBT_01_mlrs_F
Qilin (Unarmed) Black,O_LSV_02_unarmed_black_F,M5 Sandstorm MLRS,B_T_MBT_01_mlrs_F
Qilin (Unarmed) GreenHex,O_T_LSV_02_unarmed_ghex_F,MB 4WD,I_C_Offroad_02_unarmed_F
Qilin (Unarmed) GreenHex,O_LSV_02_unarmed_ghex_F,MB 4WD (Brown),I_C_Offroad_02_unarmed_brown_F
Qilin (Unarmed) Viper,O_T_LSV_02_unarmed_viper_F,MB 4WD (Olive),I_C_Offroad_02_unarmed_olive_F
Qilin (Unarmed) Viper,O_LSV_02_unarmed_viper_F,MH-9 Hummingbird,B_Heli_Light_01_F
Quad Bike,O_Quadbike_01_F,MH-9 Hummingbird (Stripped),B_Heli_Light_01_stripped_F
Quad Bike	GHex,O_G_Quadbike_01_F,MQ-12 Falcon,B_T_UAV_03_F
Quad Bike GreenHex,O_T_Quadbike_01_ghex_F,MQ-4A Greyhawk,B_UAV_02_F
RHIB,O_G_Boat_Transport_02_F,MQ-4A Greyhawk (CAS),B_UAV_02_CAS_F
Remote Designator [CSAT],O_Static_Designator_02_F,Mk30 HMG .50,I_HMG_01_F
Rescue Boat,O_Lifeboat,Mk30 HMG .50,B_HMG_01_F
Rescue Boat,O_T_Lifeboat,Mk30 HMG .50,B_T_HMG_01_F
SDV,O_SDV_01_F,Mk30 HMG .50 (Raised),I_HMG_01_high_F
Speedboat HMG,O_Boat_Armed_01_hmg_F,Mk30 HMG .50 (Raised),B_HMG_01_high_F
Speedboat HMG,O_T_Boat_Armed_01_hmg_F,Mk30A HMG .50,I_HMG_01_A_F
Static Titan Launcher (AA) [CSAT],O_static_AA_F,Mk30A HMG .50,B_HMG_01_A_F
Static Titan Launcher (AT) [CSAT],O_static_AT_F,Mk32 GMG 20 mm,I_GMG_01_F
T-100 Varsuk,O_MBT_02_cannon_F,Mk32 GMG 20 mm,B_GMG_01_F
T-100 Varsuk GHex,O_T_MBT_02_cannon_ghex_F,Mk32 GMG 20 mm,B_T_GMG_01_F
Taru Bench Pod,Land_Pod_Heli_Transport_04_bench_F,Mk32 GMG 20 mm (Raised),I_GMG_01_high_F
Taru Bench Pod (Black),Land_Pod_Heli_Transport_04_bench_black_F,Mk32 GMG 20 mm (Raised),B_GMG_01_high_F
Taru Medical Pod,Land_Pod_Heli_Transport_04_medevac_F,Mk32A GMG 20 mm,I_GMG_01_A_F
Taru Medical Pod (Black),Land_Pod_Heli_Transport_04_medevac_black_F,Mk32A GMG 20 mm,B_GMG_01_A_F
Taru Transport Pod,Land_Pod_Heli_Transport_04_covered_F,Mk6 Mortar,I_Mortar_01_F
Taru Transport Pod (Black),Land_Pod_Heli_Transport_04_covered_black_F,Mk6 Mortar,I_G_Mortar_01_F
Tayran AR-2,O_UAV_01_F,Mk6 Mortar,B_Mortar_01_F
Tempest (Device),O_Truck_03_device_F,Mk6 Mortar,B_G_Mortar_01_F
Tempest (Device) GreenHex,O_T_Truck_03_device_ghex_F,Mk6 Mortar,B_T_Mortar_01_F
Tempest Ammo,O_Truck_03_ammo_F,NAME,CLASSNAME
Tempest Ammo GreenHex,O_T_Truck_03_ammo_ghex_F,NAME,CLASSNAME
Tempest Fuel,O_Truck_03_fuel_F,NAME,CLASSNAME
Tempest Fuel GreenHex,O_T_Truck_03_fuel_ghex_F,NAME,CLASSNAME
Tempest Medical,O_Truck_03_medical_F,Offroad,I_G_Offroad_01_F
Tempest Medical GreenHex,O_T_Truck_03_medical_ghex_F,Offroad,B_G_Offroad_01_F
Tempest Repair,O_Truck_03_repair_F,Offroad,B_GEN_Offroad_01_gen_F
Tempest Repair GreenHex,O_T_Truck_03_repair_ghex_F,Offroad (Armed),I_G_Offroad_01_armed_F
Tempest Transport,O_Truck_03_transport_F,Offroad (Armed),B_G_Offroad_01_armed_F
Tempest Transport (Covered),O_Truck_03_covered_F,Offroad (Repair),I_G_Offroad_01_repair_F
Tempest Transport (Covered) GreenHex,O_T_Truck_03_covered_ghex_F,Offroad (Repair),B_G_Offroad_01_repair_F
Tempest Transport GreenHex,O_T_Truck_03_transport_ghex_F,Prowler (Armed),B_T_LSV_01_armed_F
To-199 Neophron (CAS),O_Plane_CAS_02_F,Prowler (Armed),B_LSV_01_armed_F
To-201 Shikra,O_Plane_Fighter_02_F,Prowler (Armed) Black,B_LSV_01_armed_black_F
To-201 Shikra [Stealth],O_Plane_Fighter_02_Stealth_F,Prowler (Armed) Black,B_T_LSV_01_armed_black_F
Truck GHex,O_G_Van_01_transport_F,Prowler (Armed) CTRG,B_T_LSV_01_armed_CTRG_F
UGV Saif,O_UGV_01_F,Prowler (Armed) Olive,B_LSV_01_armed_olive_F
UGV Saif GHex,O_T_UGV_01_ghex_F,Prowler (Armed) Olive,B_T_LSV_01_armed_olive_F
UGV Saif RCWS,O_UGV_01_rcws_F,Prowler (Armed) Sand,B_LSV_01_armed_sand_F
UGV Saif RCWS GHex,O_T_UGV_01_rcws_ghex_F,Prowler (Armed) Sand,B_T_LSV_01_armed_sand_F
Y-32 Xi'an (Infantry Transport),O_T_VTOL_02_infantry_F,Prowler (Unarmed),B_T_LSV_01_unarmed_F
"Y-32 Xi'an (Infantry Transport, GHex)",O_T_VTOL_02_infantry_ghex_F,Prowler (Unarmed),B_LSV_01_unarmed_F
"Y-32 Xi'an (Infantry Transport, Grey)",O_T_VTOL_02_infantry_grey_F,Prowler (Unarmed),B_CTRG_LSV_01_light_F
"Y-32 Xi'an (Infantry Transport, Hex)",O_T_VTOL_02_infantry_hex_F,Prowler (Unarmed) Black,B_LSV_01_unarmed_black_F
Y-32 Xi'an (Vehicle Transport),O_T_VTOL_02_vehicle_F,Prowler (Unarmed) Black,B_T_LSV_01_unarmed_black_F
"Y-32 Xi'an (Vehicle Transport, GHex)",O_T_VTOL_02_vehicle_ghex_F,Prowler (Unarmed) CTRG,B_T_LSV_01_unarmed_CTRG_F
"Y-32 Xi'an (Vehicle Transport, Grey)",O_T_VTOL_02_vehicle_grey_F,Prowler (Unarmed) Olive,B_LSV_01_unarmed_olive_F
"Y-32 Xi'an (Vehicle Transport, Hex)",O_T_VTOL_02_vehicle_hex_F,Prowler (Unarmed) Olive,B_T_LSV_01_unarmed_olive_F
ZSU-39 Tigris,O_APC_Tracked_02_AA_F,Prowler (Unarmed) Sand,B_LSV_01_unarmed_sand_F
ZSU-39 Tigris GHex,O_T_APC_Tracked_02_AA_ghex_F,Prowler (Unarmed) Sand,B_T_LSV_01_unarmed_sand_F
Zamak Ammo,O_Truck_02_Ammo_F,Quad Bike,I_Quadbike_01_F
Zamak Fuel,O_Truck_02_fuel_F,Quad Bike,I_G_Quadbike_01_F
Zamak Medical,O_Truck_02_medical_F,Quad Bike,B_Quadbike_01_F
Zamak Repair,O_Truck_02_box_F,Quad Bike,B_G_Quadbike_01_F
Zamak Transport,O_Truck_02_transport_F,Quad Bike,B_T_Quadbike_01_F
Zamak Transport (Covered),O_Truck_02_covered_F,RHIB,I_G_Boat_Transport_02_F
